,id,title,popularity,vote_count,vote_average,original_language,release_date,avg_vote_6+,en = lang,release_month,release_day,release_year
98,549294,Synchronic,8.073,1,1.0,en,2020-10-23,0,1,10,23,2020
100,728123,I Am Greta,14.318,14,5.1,sv,2020-10-16,0,1,10,16,2020
103,536396,Blackbird,10.684000000000001,21,6.9,en,2020-09-23,1,1,9,23,2020
105,605735,10 Days Without Mum,10.568,103,5.9,fr,2020-02-19,0,1,2,19,2020
106,718840,A Nice Girl Like You,10.663,36,6.4,en,2020-07-18,1,1,7,18,2020
111,613349,A Good Doctor,9.195,128,6.7,fr,2019-12-11,1,1,12,11,2019
112,523366,Dragon Rider,11.838,3,8.7,en,2020-10-15,1,1,10,15,2020
113,597088,And Then We Danced,13.103,80,7.7,ka,2019-09-13,1,1,9,13,2019
116,477428,The Painted Bird,12.189,43,7.1,cs,2019-09-12,1,0,9,12,2019
117,426258,The Strange Ones,9.019,54,5.5,en,2018-01-05,0,1,1,5,2018
119,192538,Hammer of the Gods,8.677999999999999,111,4.5,en,2013-07-05,0,1,7,5,2013
120,508330,Awoken,12.093,40,6.2,en,2020-05-07,1,1,5,7,2020
123,537140,Hope Gap,10.739,30,6.0,en,2019-10-03,1,1,10,3,2019
124,554761,Falling,11.332,5,7.2,en,2020-10-02,1,1,10,2,2020
132,589540,Spider,11.162,22,7.5,es,2019-08-15,1,1,8,15,2019
133,512603,Out Stealing Horses,8.582,29,6.5,no,2019-03-08,1,1,3,8,2019
140,575773,Rocks,10.208,10,6.9,en,2020-09-09,1,1,9,9,2020
149,720755,The Kid Detective,6.2989999999999995,5,6.4,en,2020-10-16,1,1,10,16,2020
154,595931,The Climb,8.424,18,6.8,en,2020-07-29,1,1,7,29,2020
158,607383,Aquaslash,6.9639999999999995,11,3.8,en,2020-06-23,0,1,6,23,2020
159,581526,Deliver Us from Evil,5.692,17,7.6,ko,2020-08-05,1,1,8,5,2020
160,545237,The Nest,9.066,8,7.0,en,2020-05-08,1,1,5,8,2020
165,429977,Hot Dog,8.892999999999999,66,5.6,de,2018-01-18,0,0,1,18,2018
166,534789,Thomas & Friends: Big World! Big Adventures! The Movie,7.886,16,7.4,en,2018-07-20,1,1,7,20,2018
167,621707,The Vigil,7.394,35,5.7,en,2020-07-29,0,1,7,29,2020
169,659699,Delete History,5.349,49,5.4,fr,2020-08-26,0,1,8,26,2020
170,613080,Once Upon a Time in Bethlehem,8.467,240,6.3,it,2019-12-12,1,1,12,12,2019
172,582887,The Best Years of a Life,6.473,45,6.7,fr,2019-05-22,1,1,5,22,2019
175,348672,About Endlessness,8.267999999999999,30,6.6,sv,2019-11-15,1,1,11,15,2019
177,649137,Billie,6.36,4,7.0,en,2020-09-30,1,1,9,30,2020
178,601131,Norm of the North: King Sized Adventure,5.757999999999999,4,7.6,en,2019-06-11,1,1,6,11,2019
183,507773,Bring Me Home,7.082000000000001,19,6.9,ko,2019-11-27,1,1,11,27,2019
188,424201,Burden,6.428999999999999,13,6.0,en,2020-02-28,1,1,2,28,2020
190,744738,Dune Drifter,5.837000000000001,4,5.4,en,2020-10-24,0,1,10,24,2020
193,613319,Selfie,4.927,48,5.6,fr,2020-01-15,0,1,1,15,2020
197,660330,Night Shift,5.035,34,6.3,fr,2020-05-21,1,1,5,21,2020
199,573650,Bangla,6.157,74,6.1,it,2019-05-16,1,1,5,16,2019
